center_x,center_y,label,orientation,avg_height,orig_index
15570,3035,palace,90.0,226.31321716308594,296
15541,3029,house,90.0,226.1536407470703,297
15805,3020,house,90.0,227.85948181152344,298
15549,3017,house,90.0,226.2883758544922,299
15775,3013,cluster_houses,7.352379322052002,227.84677124023438,300
15922,3002,platform_large,56.30992889404297,233.72113037109375,301
15807,2997,double_house,6.340191841125488,229.60731506347656,302
15625,2988,double_house,90.0,227.87937927246094,303
16092,2973,house,90.0,232.24392700195312,304
16054,2980,platform_large,47.72631072998047,232.39028930664062,305
15684,2970,platform_large,90.0,230.42910766601562,306
16034,2950,palace_large,32.00538635253906,233.8623504638672,307
